userid,group,Q1-1,Q1-2,Q1-3,Q1-4,Q2-1,Q2-2,Q2-3,Q2-4,Q3-1,Q3-2,Q3-3,Q3-4,Q4-1,Q4-2,Q4-3,Q4-4,Q5-1,Q5-2,Q5-3,Q5-4
312,B,1,2,3,2,2,1,3,1,1,1,2,5,3,3,1,2,2,3,4,5
313,B,5,1,3,3,2,4,5,4,5,4,2,1,3,4,5,1,5,4,5,2
314,B,3,4,2,1,2,3,2,5,4,1,1,3,3,3,4,3,3,4,3,5
315,B,5,3,2,4,4,4,5,1,3,2,4,3,3,1,2,3,2,5,2,1
316,B,2,2,1,1,5,2,3,2,3,5,3,2,5,1,2,5,3,3,3,5
317,B,1,5,2,1,3,4,2,5,2,5,5,4,2,4,1,3,3,2,1,2
318,B,4,2,3,4,3,2,2,3,4,2,3,2,3,1,5,1,1,4,4,5
319,B,4,3,3,1,4,2,4,4,4,4,3,5,5,1,4,3,1,3,2,1
320,B,4,2,2,5,5,5,2,1,4,4,3,3,2,2,4,1,1,3,3,1
321,B,1,5,3,3,1,5,2,4,1,3,3,1,3,3,4,2,2,5,2,1
322,B,4,3,3,1,4,3,4,1,2,3,2,2,4,5,3,5,4,5,5,2
323,B,1,1,3,4,2,5,2,3,1,4,1,4,3,4,1,3,3,4,4,4
324,B,4,1,4,4,2,4,2,3,4,2,4,4,4,4,2,2,2,4,3,3
325,B,2,2,3,5,4,5,2,4,2,3,3,1,3,4,3,2,3,1,4,5
326,B,4,4,2,3,5,4,4,2,3,1,4,2,3,4,2,4,1,2,4,4
327,B,4,4,4,1,2,4,4,2,1,4,4,3,2,3,4,2,4,3,5,4
328,B,3,4,3,3,3,2,1,3,1,2,3,1,3,2,2,1,3,1,4,1
329,B,2,4,4,1,3,3,1,2,3,4,4,4,2,5,1,3,4,4,2,3
330,B,5,3,4,3,4,4,5,2,5,2,2,2,2,5,2,1,2,1,1,1
331,B,3,3,2,3,2,1,3,1,1,4,4,5,1,2,3,1,2,1,1,1
332,B,2,2,1,4,4,2,2,1,4,5,2,1,1,3,4,5,2,3,3,3
333,B,4,1,4,2,5,4,4,5,3,2,2,2,4,2,4,2,1,3,5,4
334,B,3,2,4,4,4,5,4,3,3,4,2,1,2,1,4,2,3,3,4,3
335,B,4,1,3,5,4,2,3,3,1,4,3,5,2,5,1,2,4,4,3,5
336,B,4,5,2,4,4,5,4,4,5,4,1,1,1,3,4,1,3,2,3,2
337,B,3,4,2,2,5,3,2,4,1,2,2,1,3,4,1,3,2,5,1,1
338,B,2,3,2,2,4,4,1,1,2,4,1,4,4,5,3,4,2,2,3,3
339,B,3,4,3,2,1,3,3,5,1,2,4,3,3,4,3,4,1,3,4,4
340,B,2,5,3,4,3,4,3,1,3,5,4,3,4,2,2,2,1,2,2,3
341,B,1,3,3,4,1,2,4,4,3,3,2,3,3,4,3,5,1,2,3,4
342,B,4,1,1,4,4,2,2,3,1,4,5,5,3,3,5,3,4,3,2,1
343,B,3,4,2,4,3,3,4,2,2,3,4,1,2,3,1,2,2,1,4,4
344,B,2,5,1,2,1,2,2,4,3,3,1,3,4,4,4,1,1,5,5,3
345,B,3,4,2,1,2,5,1,4,2,5,2,4,3,3,2,4,4,2,5,3
346,B,4,3,4,3,4,4,3,3,2,1,3,5,3,5,3,3,2,2,1,4
347,B,1,3,4,3,1,2,4,1,4,4,2,4,2,5,4,4,1,2,1,1
348,B,1,4,4,1,4,1,4,4,4,2,4,3,4,3,4,2,3,2,3,3
349,B,4,3,2,4,5,3,1,4,1,2,2,1,3,4,2,3,2,1,2,5
350,B,2,3,3,5,3,4,5,1,3,4,4,5,4,5,3,4,3,5,3,2
351,B,3,4,3,1,4,3,3,2,3,3,2,1,3,2,3,2,3,4,5,3
352,B,1,3,2,3,3,1,4,5,3,1,2,4,2,5,1,3,5,5,2,2
353,B,2,1,1,5,5,3,4,1,5,1,1,4,3,2,2,3,3,3,4,4
354,B,1,5,2,3,3,4,3,2,3,2,1,2,3,3,4,1,4,4,3,4
355,B,5,5,2,3,3,2,3,4,1,1,3,1,5,1,4,4,3,4,4,4
356,B,1,3,4,1,1,3,2,3,5,3,4,4,1,5,2,3,2,1,5,3
357,B,3,4,3,4,5,3,5,4,3,5,3,5,5,5,4,5,2,5,5,1
358,B,5,4,2,2,4,4,5,1,2,1,3,3,3,5,5,5,3,3,1,3
359,B,2,4,3,5,3,4,1,3,2,5,3,2,2,3,2,1,1,4,3,3
360,B,2,5,4,1,1,4,3,1,4,4,3,2,4,4,2,4,2,1,5,5
361,B,2,5,2,3,3,3,2,5,4,3,2,4,4,4,4,4,4,1,4,2
362,B,5,3,3,3,1,4,1,3,4,3,2,1,3,3,1,2,4,4,4,1
363,B,2,3,3,1,5,4,3,2,2,4,4,3,2,3,4,1,1,5,3,4
364,B,1,5,5,1,4,3,4,5,3,3,3,2,1,4,3,1,1,3,4,2
365,B,4,3,2,3,5,3,4,4,2,4,1,3,3,2,3,3,3,2,2,3
366,B,3,1,2,4,1,4,2,2,4,5,2,4,3,3,2,1,2,5,2,3
367,B,3,1,4,3,4,3,5,1,1,2,4,4,4,2,3,3,2,3,4,2
368,B,1,2,3,4,2,5,2,4,4,2,3,4,2,3,1,5,4,2,3,3
369,B,4,3,2,4,4,5,5,3,4,4,4,3,4,4,3,3,5,4,5,4
370,B,3,1,2,4,1,5,3,2,2,2,3,3,1,2,2,1,3,5,1,3
371,B,4,4,1,5,3,4,4,2,5,4,4,2,1,4,3,5,1,3,1,3
372,B,4,4,3,2,5,4,4,5,1,2,4,4,3,2,4,3,4,2,4,4
373,B,3,4,3,5,3,4,5,2,2,3,4,4,1,4,5,2,5,4,5,5
374,B,2,4,2,2,2,5,2,4,4,3,2,4,3,2,4,5,1,4,1,2
375,B,4,1,2,5,5,2,2,1,3,3,2,3,2,4,2,4,5,5,1,5
376,B,1,4,3,2,3,3,4,3,2,2,2,4,2,4,4,1,2,2,4,5
377,B,5,3,2,4,1,5,2,5,1,4,2,3,3,1,1,2,3,2,4,4
378,B,3,4,4,5,5,1,4,1,2,3,5,4,2,5,3,4,4,2,2,4
379,B,5,4,3,5,2,4,2,4,4,3,2,4,2,4,2,5,5,4,5,3
380,B,5,4,4,4,1,3,3,1,4,4,1,1,5,5,1,3,5,2,3,1
381,B,2,3,2,4,1,5,3,3,2,3,3,4,5,2,2,4,3,4,1,4
382,B,3,4,2,1,4,5,2,2,2,4,4,4,2,4,2,1,2,2,4,4
383,B,4,5,1,5,5,2,1,4,1,1,5,2,5,4,4,3,2,3,4,5
384,B,2,3,3,3,4,2,5,4,3,4,4,1,1,4,1,3,4,4,1,4
385,B,1,2,1,2,5,4,3,1,4,5,2,4,1,2,4,2,4,5,4,1
386,B,2,4,4,2,5,4,3,3,4,4,3,3,5,1,5,2,3,3,1,2
387,B,2,4,4,4,4,3,3,2,1,4,4,2,1,5,3,3,1,4,4,2
388,B,5,2,2,3,3,3,4,3,5,5,4,1,4,1,4,5,3,2,4,4
389,B,5,3,2,4,3,4,3,3,4,4,2,5,4,4,3,1,4,3,3,1
390,B,3,4,3,3,3,1,5,2,4,1,4,2,1,4,1,4,3,3,3,4
391,B,4,5,5,3,3,2,4,3,2,4,3,3,4,4,1,5,5,2,3,3
392,B,4,2,3,5,4,2,4,1,1,2,5,4,2,2,2,2,4,2,4,1
393,B,4,3,4,1,1,2,3,5,4,2,2,4,3,2,1,3,4,2,3,1
394,B,4,1,3,5,4,5,2,3,2,5,2,4,2,3,1,1,1,1,3,4
395,B,3,2,4,3,2,5,1,2,4,4,2,4,4,5,3,5,1,4,4,3
396,B,4,4,4,5,4,4,3,4,1,3,3,4,3,1,4,3,4,5,2,5
397,B,1,2,3,4,2,3,1,2,3,2,3,2,1,5,3,4,2,3,4,3
398,B,5,2,2,3,2,4,4,5,2,4,2,2,4,3,5,2,5,5,1,4
399,B,3,3,3,3,5,2,2,1,4,5,3,1,2,4,3,2,4,1,2,2
400,B,2,4,1,2,2,1,3,5,2,3,3,4,4,3,3,1,4,4,2,2
401,B,1,1,4,4,5,5,1,4,3,4,2,2,2,1,2,4,5,5,3,2
402,B,3,4,4,2,2,2,2,4,4,5,4,4,5,1,3,2,3,3,4,4
403,B,3,3,1,2,4,1,2,3,1,4,3,2,2,2,4,5,4,3,2,3
404,B,5,4,2,4,5,4,2,3,3,3,1,5,5,3,2,2,3,4,1,5
405,B,4,4,3,3,1,4,5,3,4,4,3,4,2,2,5,4,1,4,1,4
406,B,1,4,3,3,3,3,2,4,2,3,2,2,2,2,2,3,3,5,2,3
407,B,2,3,4,4,3,5,4,2,4,5,5,1,3,1,1,5,3,2,1,4
408,B,4,4,3,4,3,3,1,4,3,4,4,5,2,1,4,4,3,3,2,1
409,B,3,4,3,4,3,3,3,3,5,2,4,1,3,4,1,4,5,2,2,4
410,B,3,2,2,4,3,5,2,1,2,4,4,2,5,2,2,4,2,4,4,4
411,B,1,3,5,3,5,1,5,4,4,2,2,4,1,3,5,3,3,3,5,2
412,B,3,4,1,1,1,1,1,5,4,4,3,4,4,5,4,4,4,4,3,4
413,B,4,1,4,5,5,4,1,3,4,3,2,2,2,1,2,4,2,3,2,3
414,B,2,4,4,2,2,3,4,1,1,1,4,4,2,1,4,4,2,5,5,4
415,B,4,1,2,3,3,3,2,4,4,4,1,3,1,4,4,3,1,5,2,4
416,B,2,3,2,5,4,4,2,3,4,4,4,4,4,3,2,4,5,1,4,1
417,B,4,4,2,3,1,3,2,5,2,2,4,5,5,3,1,4,2,4,2,2
418,B,2,3,2,3,2,3,4,3,1,4,2,1,2,1,2,2,1,3,3,5
419,B,4,3,2,2,4,4,4,3,2,1,3,5,2,2,1,4,5,1,3,5
420,B,3,1,5,5,3,1,3,2,1,3,3,2,5,3,4,1,3,1,4,4
421,B,2,2,3,2,1,3,2,5,3,5,4,3,1,4,3,3,4,1,3,4
422,B,1,2,2,3,2,3,4,2,4,3,4,2,3,1,4,2,5,2,2,3
423,B,1,2,5,3,4,2,1,2,3,3,4,5,3,5,3,3,1,4,4,4
424,B,1,5,3,1,3,2,1,5,3,3,4,4,4,4,3,2,4,3,4,3
425,B,5,3,2,2,4,5,2,2,2,2,1,2,4,4,3,5,5,3,2,5
426,B,4,3,3,1,1,4,2,2,3,2,2,4,2,1,5,2,2,5,3,2
427,B,1,3,3,3,4,4,1,3,3,2,4,1,3,1,4,2,2,3,1,4
428,B,4,2,4,4,3,1,2,1,1,3,2,2,1,4,2,4,5,5,4,2
429,B,2,5,3,1,3,4,2,5,2,1,1,4,2,5,4,2,1,4,3,4
430,B,4,4,3,2,4,2,3,3,5,3,4,5,3,3,3,2,2,2,2,4
431,B,2,1,1,4,3,4,3,2,4,4,1,4,4,5,3,1,4,3,4,4
432,B,3,3,2,2,2,1,5,5,1,3,2,4,3,4,3,3,1,3,4,1
433,B,5,3,4,5,2,1,1,2,4,3,4,4,4,1,3,3,1,4,1,4
434,B,3,4,3,5,3,1,1,3,4,2,4,4,4,1,3,1,4,2,5,1
435,B,1,5,3,1,4,1,4,2,3,3,2,2,3,2,3,2,1,4,5,2
436,B,2,5,4,3,2,1,4,2,1,4,2,3,3,4,2,4,2,2,3,1
437,B,3,2,3,3,3,4,2,4,5,5,3,3,4,1,4,2,1,3,3,2
438,B,2,1,4,2,3,2,3,4,3,2,3,3,4,1,2,3,1,1,4,2
439,B,2,4,4,3,1,4,4,2,5,5,1,3,3,2,2,3,1,4,2,4
440,B,3,4,2,5,3,4,3,4,3,5,5,2,3,4,2,2,1,1,2,1
441,B,1,2,2,3,2,2,4,2,2,4,4,5,3,5,4,4,1,4,4,4
442,B,1,5,4,2,4,4,4,5,2,5,5,4,3,4,5,3,1,1,5,2
443,B,1,3,3,2,2,2,1,3,2,4,4,1,1,3,3,4,5,2,2,4
444,B,4,3,2,1,3,5,2,2,3,3,4,3,1,4,1,4,2,2,3,4
445,B,2,3,2,3,5,3,2,1,5,5,1,2,2,1,3,5,4,3,4,5
446,B,3,1,4,2,2,4,4,4,4,3,3,4,4,1,1,1,2,3,3,1
447,B,4,4,4,4,4,3,4,2,4,5,4,3,4,3,2,1,3,5,5,2
448,B,2,3,5,3,2,3,3,3,3,5,3,3,4,3,4,3,4,2,3,3
449,B,4,3,1,4,4,4,2,3,3,1,2,4,3,4,2,3,4,5,3,1
450,B,4,1,5,1,1,4,2,3,3,5,3,4,4,4,1,3,2,1,3,4
451,B,5,1,4,5,4,2,1,1,1,4,4,3,1,2,4,3,4,1,2,2
452,B,3,2,2,2,4,2,4,4,3,3,2,4,1,3,2,3,2,2,4,4
453,B,4,2,1,3,4,2,3,3,5,3,4,3,5,2,2,4,1,4,2,4
454,B,3,4,2,3,5,3,4,3,5,1,3,1,4,4,2,5,2,2,1,4
455,B,1,3,2,5,2,5,2,5,3,1,4,3,4,3,4,4,4,1,3,1
456,B,2,4,2,5,1,5,3,4,3,4,3,5,2,1,1,5,3,2,3,5
457,B,1,5,3,4,3,4,1,3,1,3,1,5,3,2,1,4,3,4,3,2
458,B,4,3,3,3,2,1,4,4,1,2,4,2,3,4,1,4,4,5,1,2
459,B,2,4,4,3,1,4,4,3,5,4,2,4,3,3,2,4,3,3,4,4
460,B,2,4,4,4,4,5,2,2,3,2,4,4,2,4,3,2,1,5,4,3
461,B,2,2,3,1,3,3,4,4,2,2,3,1,3,2,4,3,4,1,3,4
462,B,2,3,4,4,5,4,3,2,4,1,3,3,5,3,3,3,2,1,2,4
463,B,3,1,5,3,4,4,4,3,1,4,4,4,3,4,2,3,1,3,4,3
464,B,5,4,3,1,5,4,3,3,2,2,4,1,2,3,4,2,3,2,2,3
465,B,4,5,4,2,4,5,5,3,4,5,1,3,3,3,1,2,2,2,3,2
466,B,4,4,2,3,2,4,5,3,3,2,4,4,3,2,4,4,4,3,3,3
467,B,4,1,3,3,1,3,3,4,2,1,2,4,5,3,4,4,4,5,3,4
468,B,2,4,4,1,3,2,1,3,3,2,3,2,1,4,3,4,3,4,2,3
469,B,5,1,3,4,3,3,2,2,3,2,2,4,4,4,2,2,4,2,3,2
470,B,4,4,3,3,2,3,4,4,4,3,1,2,3,4,4,5,5,3,2,4
471,B,2,2,4,5,4,4,2,4,4,4,1,4,4,4,3,3,4,5,3,3
472,B,1,5,4,4,4,2,4,2,5,4,1,4,2,5,1,2,5,2,5,4
473,B,4,4,3,1,3,1,2,3,3,3,4,4,1,2,4,2,5,1,2,1
474,B,1,3,1,4,5,5,3,2,3,2,3,4,5,1,4,4,4,4,5,2
475,B,3,1,3,4,1,3,1,2,2,4,5,3,4,2,2,4,1,4,2,5
476,B,2,4,4,4,1,3,3,5,4,4,2,2,4,2,3,4,1,3,2,5
477,B,1,4,4,4,3,1,3,3,3,2,2,1,3,3,1,4,2,4,2,4
478,B,3,5,1,2,4,2,2,4,5,5,2,5,3,4,2,2,3,2,3,5
479,B,1,2,3,4,5,4,3,4,5,3,1,1,3,2,2,4,4,4,4,5
480,B,2,2,2,3,5,4,4,4,4,1,4,4,5,5,3,3,2,2,4,3
481,B,2,3,2,4,3,1,2,3,3,3,4,1,5,1,2,4,4,3,1,3
482,B,3,2,4,4,3,1,4,4,1,5,4,3,4,1,4,4,4,1,5,5
483,B,4,5,4,1,2,1,5,3,1,4,4,4,1,4,4,3,3,2,4,3
484,B,2,2,4,4,2,4,1,1,4,4,3,2,3,3,2,3,3,4,2,3
485,B,5,4,3,3,4,3,2,4,4,4,2,2,4,3,2,2,4,1,1,2
486,B,4,3,3,4,4,4,3,3,2,2,2,4,5,2,3,3,3,3,2,2
487,B,2,2,5,2,4,4,4,4,5,5,3,4,2,3,3,5,4,2,3,4
488,B,4,5,3,5,4,5,1,2,3,3,4,2,5,2,1,1,2,1,3,4
489,B,2,2,3,4,3,4,4,5,4,4,2,3,3,5,2,2,3,4,5,2
490,B,3,5,4,3,3,2,3,4,3,1,1,2,3,5,5,2,1,4,2,3
491,B,4,3,3,4,1,4,2,4,5,1,1,3,2,4,3,3,2,1,3,5
492,B,2,1,5,5,5,3,4,3,5,1,4,2,1,5,4,5,2,3,1,3
493,B,4,1,4,4,3,3,4,1,5,1,4,2,5,3,5,3,4,3,3,3
494,B,2,2,2,1,1,5,1,2,4,1,1,4,5,4,1,1,1,4,3,4
495,B,1,3,3,1,3,1,2,4,1,1,3,2,4,2,5,4,4,5,4,3
496,B,4,3,2,4,4,5,2,3,4,4,2,2,3,3,1,1,1,2,2,3
497,B,2,4,1,4,4,4,1,1,5,2,5,2,1,1,5,2,1,4,4,3
498,B,4,2,2,4,1,2,4,2,2,4,2,4,2,1,4,2,3,1,2,3
499,B,5,4,3,3,3,4,2,2,3,2,3,2,1,4,4,1,5,3,4,2
500,C,1,2,1,1,4,4,1,4,2,5,4,4,1,4,3,5,4,5,4,3
501,C,5,4,2,4,4,4,3,3,3,4,3,4,3,4,3,4,4,5,3,2
502,C,2,2,2,3,2,5,4,5,3,2,3,3,3,1,3,3,2,3,2,2
503,C,5,5,4,4,3,1,3,4,3,5,1,1,5,1,2,4,4,3,4,3
504,C,4,4,4,5,4,4,2,4,5,2,4,1,3,1,2,1,4,3,2,2
505,C,4,3,2,4,3,3,1,5,1,2,3,3,3,2,4,4,5,3,3,2
506,C,2,2,1,2,5,3,3,3,4,2,3,4,5,4,4,4,4,1,4,2
507,C,1,3,1,2,5,2,4,1,3,1,3,1,4,1,3,1,4,1,4,2
508,C,3,3,4,3,1,2,2,5,3,4,3,3,1,2,2,1,2,2,3,5
509,C,4,3,4,1,2,1,3,2,3,4,2,1,4,5,2,4,2,1,3,2
510,C,3,2,1,3,1,3,2,3,3,2,5,5,3,1,5,2,2,3,2,2
511,C,2,2,4,2,2,3,4,5,3,1,4,5,1,4,2,5,4,4,4,4
512,C,4,5,2,3,4,3,1,4,1,3,5,3,2,1,3,2,2,3,1,5
513,C,3,3,4,4,1,5,2,1,1,1,5,5,5,3,1,1,2,3,2,5
514,C,3,5,2,3,3,2,3,1,1,4,5,3,1,5,2,1,3,3,5,4
515,C,4,2,2,4,4,2,3,3,4,4,4,5,2,2,5,3,5,4,3,2
516,C,5,3,3,3,2,2,3,5,1,5,4,5,5,1,4,5,3,4,3,3
517,C,3,3,2,4,2,4,3,4,1,4,4,4,2,3,3,2,4,3,4,3
518,C,3,4,4,3,5,4,3,4,4,1,3,3,1,3,3,3,3,2,4,3
519,C,3,4,2,1,3,4,2,1,3,3,4,3,2,4,3,1,5,4,2,4
520,C,1,4,3,4,2,1,5,1,3,3,4,4,3,4,1,1,2,5,2,2
521,C,1,2,2,2,4,4,2,2,3,4,3,3,3,1,1,4,5,3,2,5
522,C,2,3,3,4,5,4,1,5,4,3,5,2,3,5,4,1,4,3,3,4
523,C,5,2,4,4,1,3,1,2,3,1,3,2,4,3,3,4,1,4,2,3
524,C,2,5,3,4,2,5,3,4,3,1,3,4,3,4,4,4,1,3,3,3
525,C,2,3,4,3,3,1,2,4,4,2,1,4,5,1,4,3,4,2,4,2
526,C,1,1,3,4,5,2,4,3,1,3,5,5,5,3,4,4,2,2,2,5
527,C,2,2,3,4,4,4,1,4,3,4,3,5,3,5,2,2,1,1,5,3
528,C,4,2,2,3,3,4,3,2,2,3,4,4,1,1,3,1,5,4,4,2
529,C,4,5,4,2,1,2,3,3,3,2,5,3,1,2,4,4,2,1,5,4
530,C,2,5,1,4,1,2,4,2,4,4,5,3,4,5,5,4,2,4,4,3
531,C,4,1,2,4,4,2,2,4,5,1,2,3,2,1,2,3,5,3,4,2
532,C,4,1,2,5,1,1,3,4,5,5,3,3,3,2,4,3,4,1,5,2
533,C,3,4,4,2,3,5,4,1,4,1,2,1,1,4,1,2,4,3,4,3
534,C,3,4,2,4,4,2,2,3,4,2,1,1,4,2,4,3,1,3,2,4
535,C,3,3,1,3,4,4,5,3,4,5,3,1,1,3,4,4,4,4,3,2
536,C,4,2,4,2,2,4,2,2,3,5,4,5,4,2,4,4,4,4,1,2
537,C,4,3,3,1,2,1,1,4,2,1,1,5,3,4,4,3,3,2,3,3
538,C,5,4,4,2,3,4,2,3,4,3,4,4,4,1,2,5,4,3,3,3
539,C,2,2,3,3,3,3,4,2,2,4,5,2,2,1,2,4,3,4,3,4
540,C,2,3,2,4,5,4,5,4,1,4,3,4,4,5,2,2,4,3,2,4
541,C,4,2,5,2,3,4,2,4,3,4,4,3,3,1,4,4,2,1,3,3
542,C,1,2,5,2,1,5,4,1,5,5,2,3,3,2,4,5,2,1,3,4
543,C,2,4,2,4,4,4,3,2,4,3,2,4,4,5,4,4,4,3,2,2
544,C,4,1,2,5,3,3,2,3,3,2,2,2,1,3,4,1,1,2,4,3
545,C,1,4,3,5,4,4,3,3,4,3,3,3,4,4,4,2,5,3,4,5
546,C,4,4,3,2,4,2,4,4,3,2,1,2,3,5,1,5,4,2,2,3
547,C,4,5,3,5,4,5,2,1,1,3,4,5,4,4,4,4,5,5,5,4
548,C,3,5,3,4,1,4,2,1,4,2,3,5,2,3,4,3,3,3,4,1
549,C,2,4,1,3,4,2,2,4,1,3,5,4,3,4,4,4,3,3,1,4
550,C,3,3,2,4,2,1,3,3,4,2,1,4,3,4,2,2,4,1,2,4
551,C,4,2,1,1,5,2,2,1,5,2,3,2,4,2,4,5,1,2,4,2
552,C,4,3,4,4,4,4,2,2,4,4,1,1,3,4,3,2,4,3,1,1
553,C,3,3,4,1,4,4,1,4,3,1,3,4,1,4,2,2,5,3,2,5
554,C,1,1,3,2,5,4,5,3,5,5,4,4,4,2,1,3,5,4,5,3
555,C,3,3,3,3,2,4,3,5,3,3,2,3,4,3,3,2,4,2,4,3
556,C,5,2,3,5,5,1,4,2,3,4,5,4,4,3,4,4,4,4,3,5
557,C,2,5,2,5,3,2,2,5,4,2,4,3,3,4,5,3,1,2,3,3
558,C,4,1,4,4,2,2,4,5,3,3,2,5,1,3,2,3,5,4,3,2
559,C,4,3,4,4,5,3,4,3,3,4,4,2,4,5,3,4,3,2,4,5
560,C,3,4,3,4,3,2,3,1,4,1,1,1,4,4,4,4,3,1,2,3
561,C,1,4,3,4,2,3,3,5,5,4,4,4,4,5,4,4,3,4,3,4
562,C,5,3,3,2,3,1,4,1,2,4,5,3,2,3,2,2,2,1,4,3
563,C,4,3,2,5,5,3,5,1,2,4,2,5,5,4,2,3,2,1,2,1
564,C,4,2,1,2,2,5,2,1,2,4,3,2,1,4,3,4,5,5,3,2
565,C,1,4,3,1,4,1,2,3,3,2,3,2,2,4,2,4,5,2,2,4
566,C,3,5,5,2,3,3,3,4,2,4,4,2,3,3,4,4,1,5,2,1
567,C,1,4,4,2,4,5,3,3,4,2,3,2,4,4,5,1,3,1,3,4
568,C,3,3,5,2,1,3,2,3,4,3,4,1,5,4,2,2,3,1,3,4
569,C,1,4,3,2,4,2,3,2,3,3,4,1,1,4,2,3,1,4,2,3
570,C,3,4,4,4,4,5,3,3,4,4,2,4,1,3,4,3,3,3,3,3
571,C,4,5,1,3,2,3,3,1,2,5,3,1,5,5,3,2,4,1,4,1
572,C,2,5,2,4,3,2,3,5,4,4,2,2,4,4,4,2,5,2,2,1
573,C,1,5,4,4,4,1,4,2,4,5,3,4,1,3,1,3,4,1,4,2
574,C,4,1,3,1,4,1,4,5,3,4,3,4,3,1,4,3,5,4,2,4
575,C,2,4,3,2,5,3,4,4,1,4,5,3,4,5,2,1,1,2,1,4
576,C,4,4,1,1,4,1,2,4,4,4,1,5,2,3,4,4,1,2,2,1
577,C,5,2,4,1,2,3,3,1,1,3,3,5,3,4,2,5,5,3,4,4
578,C,1,4,5,2,4,5,2,1,4,3,4,2,4,1,5,5,4,2,4,1
579,C,2,3,4,3,4,5,2,4,4,2,4,3,4,2,5,4,1,5,4,3
580,C,2,2,3,5,2,3,4,3,3,1,2,1,3,2,4,1,5,4,4,1
581,C,2,1,4,1,4,5,4,4,1,1,5,3,1,1,5,4,5,2,4,2
582,C,4,4,2,4,3,3,4,4,2,3,3,4,3,5,4,2,2,1,2,5
583,C,4,1,3,4,2,1,3,3,2,3,4,4,4,1,2,4,4,4,1,3
584,C,5,3,4,2,4,5,3,2,5,5,2,4,2,3,2,3,2,3,4,3
585,C,2,3,2,5,5,1,4,4,3,3,3,3,4,2,2,4,3,2,1,5
586,C,4,5,3,4,3,2,2,5,2,3,2,1,3,3,3,4,2,5,3,2
587,C,3,1,2,1,2,3,1,3,4,3,3,2,1,5,5,5,2,5,4,3
588,C,1,4,3,4,4,2,5,4,4,4,3,5,1,4,4,3,2,3,2,3
589,C,4,2,2,2,3,1,3,5,3,3,3,2,3,3,2,4,4,4,3,4
590,C,1,3,2,1,1,4,2,3,2,5,2,1,5,3,4,5,1,5,4,4
591,C,3,2,3,1,4,1,2,3,4,5,4,3,5,3,4,2,1,4,4,5
592,C,3,3,5,1,1,4,2,2,1,3,2,4,4,2,5,1,2,2,1,5
593,C,4,1,5,2,4,3,3,4,3,3,2,3,1,2,3,3,2,2,2,3
594,C,2,3,4,1,4,1,2,4,3,3,4,3,3,3,3,1,5,1,3,5
595,C,3,2,2,1,1,3,2,5,3,5,2,2,5,4,3,3,2,2,2,2
596,C,3,3,4,1,5,3,3,4,4,4,1,4,2,2,3,4,4,4,4,5
597,C,5,4,2,3,2,1,5,3,1,3,2,5,4,3,3,4,1,2,5,5
598,C,4,3,2,4,5,1,3,2,3,4,4,3,4,5,2,2,1,2,4,4
599,C,5,2,4,4,2,4,3,4,5,3,1,1,3,5,4,3,3,3,1,1
600,C,1,2,2,4,4,3,2,2,3,1,2,3,1,1,4,5,2,3,2,3
601,C,3,4,4,2,2,4,4,2,1,2,2,1,3,4,2,1,2,5,3,4
602,C,4,2,3,2,2,2,2,3,4,1,4,4,4,1,2,5,4,5,5,1
603,C,5,4,2,3,3,2,2,4,3,3,2,2,5,4,5,4,3,3,4,2
604,C,2,5,4,4,2,4,4,5,3,2,3,4,4,5,2,5,4,5,4,4
605,C,4,4,3,5,4,2,2,4,3,2,2,3,3,3,5,3,4,2,4,1
606,C,4,4,3,3,2,4,3,1,1,3,4,3,1,2,3,2,2,3,1,2
607,C,4,2,2,3,4,1,4,3,3,1,4,1,1,5,3,2,3,2,2,4
608,C,4,1,3,5,3,4,3,5,2,4,4,2,1,1,2,1,4,4,2,1
609,C,2,3,5,4,3,2,2,4,3,4,3,3,3,3,2,3,4,1,3,3
610,C,2,4,5,4,5,2,5,2,1,4,4,4,1,5,4,2,5,3,4,3
611,C,1,4,2,1,5,4,4,4,2,1,1,1,4,2,4,2,4,2,2,4
612,C,2,3,4,4,1,3,3,1,1,3,4,4,4,2,5,2,1,5,5,1
613,C,4,4,3,1,5,1,2,1,4,2,2,1,4,4,1,5,4,1,2,1
614,C,4,3,3,3,1,3,4,4,4,4,4,2,4,1,4,5,4,3,3,1
615,C,3,3,3,3,1,4,2,4,4,5,2,1,1,5,2,3,3,5,4,3
616,C,4,3,5,3,4,3,1,5,3,2,3,3,4,5,4,4,5,4,3,4
617,C,5,4,4,4,2,5,2,5,2,3,3,5,2,4,4,4,5,1,2,3
618,C,3,2,1,2,2,2,1,3,4,2,1,3,2,4,2,1,4,4,3,5
619,C,2,2,2,2,4,5,1,3,4,1,1,3,3,4,2,3,3,2,1,1
620,C,1,2,2,3,1,4,4,5,1,2,5,4,3,3,2,1,4,4,3,4
621,C,2,2,3,5,5,2,4,2,3,2,3,2,4,2,3,2,2,4,3,1
622,C,4,3,3,4,4,2,1,1,3,5,1,2,4,5,3,3,5,4,4,3
623,C,4,3,4,5,4,5,3,1,2,4,4,2,5,2,4,4,4,3,3,1
624,C,2,3,2,2,2,2,2,3,2,1,2,5,1,4,4,1,5,2,3,1
625,C,5,4,2,5,4,2,3,5,1,5,3,4,1,2,4,3,1,1,1,5
626,C,2,4,3,1,3,4,4,1,1,1,4,1,1,4,3,2,4,4,1,3
