Id,LotArea,LotFrontage,YearBuilt,1stFlrSF,2ndFlrSF,YearRemodAdd,TotRmsAbvGrd,KitchenAbvGr,BedroomAbvGr,GarageCars,GarageArea,price
372,17120,80.0,1959,1120,468,1959,7,1,4,2,680,11.808821212646512
373,7175,50.0,1984,752,0,1984,4,1,2,1,264,11.736077016252437
374,10634,79.0,1953,1319,0,1953,5,1,3,1,270,11.719947764402807
375,8200,65.0,2003,847,1081,2004,8,1,4,2,434,12.299112067295642
376,10020,,1922,904,0,1950,4,1,1,0,0,11.0186455364637
377,8846,57.0,1996,914,0,1996,5,1,2,2,576,11.904974309480183
378,11143,102.0,2004,1580,886,2005,8,1,4,2,610,12.73670383776449
379,11394,88.0,2010,1856,0,2010,8,1,1,3,834,12.885204569609956
380,8123,60.0,2000,1007,793,2000,7,1,3,2,463,12.095146671399466
381,5000,50.0,1924,1026,665,1950,6,1,3,1,308,11.751950239425476
382,7200,60.0,2006,1301,0,2006,5,1,2,2,572,12.142871895843887
383,9245,79.0,2006,939,858,2006,8,1,3,2,639,12.271396795480596
384,9000,60.0,1928,784,0,1950,5,1,2,2,360,11.23850177707664
385,53107,,1992,1079,874,1992,9,1,3,2,501,12.388398368982115
386,3182,43.0,2004,1269,0,2005,6,1,2,2,430,12.165255859329688
387,8410,58.0,1910,658,526,1996,8,1,5,0,0,11.302216779257382
388,7200,72.0,1976,1125,0,1976,6,1,3,1,352,11.736077016252437
389,9382,93.0,1999,1479,0,2000,6,1,3,2,577,12.160033942617156
390,12474,96.0,2007,1742,590,2008,9,1,3,3,846,12.962196972666593
391,8405,50.0,1900,961,406,1950,7,1,4,1,384,11.686887175419702
392,12209,71.0,2001,804,1157,2002,7,1,3,2,560,12.278397958261774
393,8339,,1959,882,0,1959,5,1,3,1,294,11.575909653758895
394,7446,,1941,788,0,1950,4,1,2,0,0,11.51293546492023
395,10134,60.0,1940,735,299,1950,5,1,2,1,240,11.599112335481124
396,9571,68.0,1956,1144,0,1956,6,1,3,1,596,11.767575435251748
397,7200,60.0,1972,894,0,1972,6,1,2,2,600,11.719947764402807
398,7590,69.0,1962,876,936,1962,8,1,4,1,264,12.040614105490253
399,8967,60.0,1920,1077,0,1950,6,1,2,1,338,11.112462823634855
400,8125,65.0,2006,1112,438,2007,7,1,2,2,438,12.392556361841777
401,14963,38.0,1996,1288,0,1996,4,1,1,2,500,12.411056299528171
402,8767,65.0,2005,1310,0,2005,6,1,3,2,400,12.013646205940514
403,10200,60.0,1940,672,0,1997,4,1,2,1,240,11.58989576532275
404,12090,93.0,1998,1165,1098,1998,10,1,4,2,420,12.460718739865236
405,10364,,1995,806,766,1996,7,1,3,2,373,12.031725210748633
406,9991,,1976,1620,0,1993,8,1,3,2,490,11.918397239722838
407,10480,51.0,1936,1166,0,1950,6,1,3,1,240,11.652696102959753
408,15576,63.0,1915,840,840,1976,8,1,4,1,308,12.083910661257521
409,14154,109.0,2006,1071,1101,2006,9,1,3,3,947,12.54254845357358
410,10800,85.0,2007,1050,1028,2008,8,1,3,3,836,12.73596827534975
411,9571,68.0,1958,1276,0,1958,5,1,3,1,350,11.002116507732017
412,34650,100.0,1955,1056,0,1955,5,1,3,2,572,11.884495917930655
413,4403,,2009,1478,0,2009,7,1,2,2,484,12.310437165348775
414,8960,56.0,1927,1028,0,1950,5,1,2,2,360,11.652696102959753
415,11228,59.0,1993,1080,1017,1993,9,1,3,3,678,12.337105293891872
416,8899,73.0,2007,1340,0,2007,6,1,3,2,396,12.106997888588934
417,7844,74.0,1978,672,728,1978,6,1,3,2,440,11.915058360753719
418,22420,86.0,1918,1370,1254,1950,10,1,4,3,864,12.384223015005313
419,8160,60.0,1940,756,378,1950,7,1,3,1,240,11.744045122410057
420,8450,65.0,1968,1056,0,1968,6,1,3,1,304,11.863589378812122
421,7060,78.0,1997,1344,0,1998,8,2,2,4,784,12.237091546357338
422,16635,,1977,1602,0,2000,8,1,3,2,529,12.278397958261774
423,21750,100.0,1954,988,0,1954,4,1,2,2,520,11.635151947212842
424,9200,80.0,1998,1470,1160,1998,8,1,4,3,696,12.660331092405906
425,9000,72.0,1956,1196,0,1956,6,1,2,1,297,11.842236406331555
426,3378,60.0,1946,707,682,1992,6,1,3,1,240,11.813037464800539
427,12800,,1989,1644,0,1989,5,1,2,2,569,12.524530013005734
428,8593,77.0,1957,907,0,1957,5,1,3,1,352,11.599185726610004
429,6762,64.0,2007,1208,0,2007,6,1,2,2,628,12.182809136284991
430,11457,130.0,1988,1412,0,1988,6,1,3,2,576,12.07254696717504
431,1680,21.0,1971,483,504,1971,4,1,2,1,264,11.355113089309977
432,5586,60.0,1920,1088,110,1998,7,1,4,0,0,11.288543647320601
433,1920,24.0,1971,765,600,1971,6,1,2,2,440,11.715874472198905
434,10839,100.0,1997,926,678,1998,7,1,3,2,470,12.10625783509458
435,1890,21.0,1972,630,0,1972,3,1,1,0,0,11.302216779257382
436,10667,43.0,1996,827,834,1996,6,1,3,2,550,12.264346270624157
437,4400,40.0,1920,734,384,1950,6,1,2,2,440,11.661354090741
438,6000,50.0,1926,904,0,2004,4,1,2,1,180,11.686887175419702
439,4280,40.0,1913,694,0,2002,4,1,2,1,352,11.411457364027745
440,12354,67.0,1920,684,512,2000,7,1,3,2,528,11.608244735642321
441,15431,105.0,2008,2402,0,2008,10,1,2,3,672,13.22672519452875
442,12108,92.0,1955,1440,0,1955,8,2,4,0,0,11.678448377988165
443,6240,52.0,1930,1128,445,1992,8,1,3,2,360,12.000897933306716
444,3922,53.0,2006,1258,0,2007,6,1,2,3,648,12.058158312538197
445,8750,70.0,1994,933,975,1995,8,1,4,2,493,12.25486757159303
446,9855,73.0,1956,1689,0,1956,7,1,3,2,480,11.755879486687116
447,16492,137.0,1966,1888,0,2002,6,1,2,2,578,12.154784614286667
448,11214,,1998,956,930,1999,10,1,4,2,431,12.20557752297723
449,8600,50.0,1937,780,596,1950,7,1,3,1,198,11.691080018519527
450,6000,50.0,1948,679,504,2002,6,1,2,1,308,11.695255355062795
451,5684,70.0,1930,813,0,2005,5,1,2,1,270,11.608244735642321
452,70761,62.0,1975,1533,0,1975,5,1,2,2,576,12.54254845357358
453,9303,,1996,888,868,1997,7,1,3,2,422,12.225880174775122
454,9000,75.0,2008,786,804,2008,6,1,3,2,676,12.25486757159303
455,9297,63.0,1976,1728,0,1976,8,2,4,2,560,12.144202560946876
456,9600,80.0,1973,1242,0,1973,6,1,3,2,528,12.075400019877522
457,4571,34.0,1916,624,720,1950,7,1,4,3,513,11.49273296168228
458,53227,,1954,1663,0,1994,6,1,2,2,529,12.45293662970407
459,5100,,1925,833,833,1996,7,1,3,1,228,11.989165855127435
460,7015,,1950,979,224,1950,5,1,3,1,352,11.608244735642321
461,8004,75.0,2009,832,1103,2009,8,1,3,2,552,12.481565733211923
462,7200,60.0,1936,575,560,2007,6,1,3,2,576,11.951186847493476
463,8281,60.0,1965,864,0,1965,5,1,3,1,360,11.04106411122238
464,11988,74.0,1934,849,811,1995,6,1,3,1,240,12.147919030759663
465,8430,60.0,1978,1040,0,1978,5,1,3,0,0,11.728044909070785
466,3072,,2004,1414,0,2004,6,1,2,2,398,12.093693109638318
467,10628,85.0,1970,1277,0,1970,5,1,2,2,526,12.025755079404917
468,9480,79.0,1942,888,756,1995,7,1,3,1,312,11.89478753335453
469,11428,98.0,2006,1634,0,2006,7,1,3,3,866,12.429220196836383
470,9291,76.0,1993,832,878,1993,7,1,3,2,506,12.138869243416009
471,6820,,1985,1502,0,1985,4,1,1,2,528,12.264346270624157
472,11952,92.0,1977,1161,808,1977,8,1,3,2,534,12.154784614286667
473,3675,35.0,2005,1072,0,2005,5,1,2,2,525,11.904974309480183
474,14977,110.0,2006,1976,0,2007,7,1,2,3,908,12.994532278619134
475,5330,41.0,2000,1652,0,2000,6,1,2,2,499,12.433212202169729
476,8480,80.0,1963,970,0,1963,5,1,2,2,624,11.794345471549745
477,13125,75.0,1997,1493,0,1998,7,1,3,2,508,12.249615734512616
478,13693,105.0,2006,2069,574,2006,9,1,3,3,694,12.847929163278053
479,10637,79.0,2007,1718,0,2008,7,1,3,3,826,12.601490784782536
480,5925,50.0,1937,1131,0,2000,7,1,2,2,672,11.401681006153428
481,16033,98.0,2004,1850,0,2005,8,1,3,3,772,12.694655727828803
482,11846,72.0,2003,1792,0,2004,6,1,2,3,874,12.832013750189885
483,2500,50.0,1915,916,910,2005,7,1,4,1,164,11.951186847493476
484,4500,32.0,1998,1216,0,1998,5,1,2,2,402,12.00762780434872
485,7758,,1962,999,0,2001,6,1,3,1,264,11.794345471549745
486,9600,80.0,1950,1113,0,2007,5,1,3,1,264,11.898194668458823
487,10289,79.0,1965,1073,0,1965,6,1,3,2,515,11.957617696467539
488,12243,70.0,1971,1484,0,1971,7,1,3,2,487,12.07254696717504
489,10800,60.0,1900,1766,648,1970,10,2,3,2,520,11.982935344196433
490,1526,21.0,1970,630,0,2002,3,1,1,1,286,11.362114203075018
491,2665,,1976,616,688,1976,4,1,3,1,336,11.652696102959753
492,9490,79.0,1941,958,620,1950,5,1,3,1,240,11.798111925972618
493,15578,105.0,2006,728,728,2006,8,1,3,2,429,12.059809113551397
494,7931,70.0,1960,1269,0,1960,6,1,3,1,308,11.951186847493476
495,5784,50.0,1938,886,0,1996,4,1,2,1,273,11.421917019425596
496,7879,60.0,1920,720,0,1950,4,1,2,0,0,10.460270761075149
497,12692,,1992,3228,0,1993,10,1,4,2,546,12.971542813248437
498,9120,60.0,1925,1133,687,1950,8,1,4,1,240,12.122696471358964
499,7800,65.0,1967,899,0,2004,5,1,3,1,288,11.775297421715827
500,7535,70.0,1958,912,0,1985,5,1,2,1,297,11.695255355062795
501,1890,21.0,1973,672,546,1973,7,1,3,1,264,11.635151947212842
502,9803,75.0,2005,866,902,2005,7,1,3,2,603,12.331387247601905
503,9170,70.0,1965,1214,0,1965,6,1,2,2,461,11.849404844423074
504,15602,100.0,1959,1801,0,1997,6,1,1,2,484,12.574185427296195
505,2308,24.0,1974,855,467,1974,6,1,3,2,440,11.898194668458823
506,7596,60.0,1952,960,1000,1952,10,2,4,2,400,11.732069026983156
507,9554,80.0,1993,1065,846,1994,8,1,3,2,471,12.278397958261774
508,7862,75.0,2009,1218,0,2009,4,1,2,2,676,12.246739428005663
509,9600,60.0,1928,689,689,2005,7,1,3,2,360,11.989165855127435
510,9600,80.0,1959,1041,0,1959,6,1,3,1,270,11.732069026983156
511,14559,75.0,1951,1363,0,2000,6,1,2,1,288,12.013100572810686
512,6792,40.0,2005,1368,0,2006,6,1,2,2,474,12.2193145828011
513,9100,70.0,1958,864,0,1958,5,1,3,2,624,11.774527900858468
514,9187,71.0,1983,1080,0,1983,5,1,3,2,484,11.80560254159177
515,10594,55.0,1926,789,0,1950,5,1,2,1,200,11.477308649967686
516,12220,94.0,2009,2020,0,2009,9,1,3,3,900,12.90634935052389
517,10448,,1972,1378,741,1972,7,1,3,2,583,11.970356641102999
518,10208,79.0,1996,1277,1067,1997,7,1,3,3,889,12.487488878546145
519,9531,,1998,882,914,1998,7,1,3,2,546,12.259618151783465
520,10918,53.0,1926,1276,804,2004,9,1,3,1,282,12.36308066783498
521,10800,60.0,1900,694,600,2000,7,2,3,0,0,11.573559498507079
522,11988,90.0,1957,1244,0,1957,6,1,3,1,336,11.918397239722838
523,5000,50.0,1947,1004,660,1950,7,1,3,2,420,11.976665770490767
524,40094,130.0,2007,3138,1538,2008,11,1,3,3,884,12.126764251515691
525,11787,95.0,1996,1383,1015,1997,8,1,3,3,834,12.662709207270272
526,7500,62.0,2005,1266,0,2005,6,1,3,2,453,12.07824495582233
527,13300,70.0,1956,928,0,2000,4,1,2,1,252,11.790564777297387
528,14948,67.0,2008,1476,1237,2008,11,1,3,3,858,13.008661502470739
529,9098,58.0,1920,605,0,2002,5,1,2,0,0,11.362114203075018
530,32668,,1957,2515,0,1975,9,2,4,2,484,12.209192772866418
531,10200,85.0,1988,1509,0,1989,5,1,3,2,600,12.07254696717504
532,6155,60.0,1920,751,611,1999,6,1,3,2,502,11.759793355371237
533,7200,60.0,1955,827,0,2007,5,1,2,1,392,11.58525542883217
534,5000,50.0,1946,334,0,1950,2,1,1,0,0,10.579005242826247
535,9056,74.0,2004,707,707,2004,6,1,3,2,403,12.08954444723597
536,7000,70.0,1910,820,527,1991,5,1,3,0,0,11.58525542883217
537,8924,57.0,1998,880,844,1999,8,1,3,2,527,12.144202560946876
538,12735,,1972,864,0,1972,5,1,3,2,576,11.619544188752133
539,11553,,1968,1159,0,1968,7,1,3,1,336,11.970356641102999
540,11423,,2001,1601,0,2002,6,1,3,2,670,12.513561021741964
541,14601,85.0,2006,1838,0,2006,8,1,2,3,765,12.660331092405906
542,11000,,2000,997,1288,2000,8,1,4,3,648,12.421188057397055
543,10140,78.0,1998,1680,0,1999,7,1,3,2,583,12.270225154674701
544,4058,34.0,1998,767,0,1998,4,1,1,1,367,11.798111925972618
545,17104,58.0,2006,664,832,2006,7,1,3,2,426,12.098854850641
546,13837,,1988,1377,806,1988,9,1,4,3,786,12.34148164933907
547,8737,70.0,1923,915,720,1950,6,1,3,2,440,12.25486757159303
548,7244,54.0,1970,768,0,1970,5,1,2,2,624,11.771443882099637
549,8235,49.0,1955,825,0,1995,4,1,2,2,720,11.736077016252437
550,9375,75.0,2003,912,1182,2004,8,1,4,2,615,12.479913113434042
551,4043,53.0,1977,1069,0,1977,4,1,2,2,440,11.849404844423074
552,6000,50.0,1957,928,0,1957,5,1,3,1,288,11.630717389475995
553,11146,87.0,2006,1717,0,2006,7,1,3,3,908,12.450981602512561
554,8777,67.0,1949,1126,0,2003,5,1,2,2,520,11.58989576532275
555,10625,85.0,2003,1006,1040,2004,8,1,3,3,871,12.556733038263905
556,6380,58.0,1922,1048,0,1950,5,1,2,1,280,11.635151947212842
557,14850,69.0,1957,1092,0,1957,6,1,2,1,299,11.856522261533737
558,11040,60.0,1920,897,439,1950,7,1,3,1,570,11.58989576532275
559,21872,57.0,1996,729,717,1997,6,1,3,2,406,12.07254696717504
560,3196,,2003,1557,0,2004,7,1,2,2,420,12.36308066783498
561,11341,,1957,1392,0,1996,5,1,3,2,528,11.707677772181546
562,10010,77.0,1974,1389,0,1975,6,1,2,2,418,12.04355959836804
563,13907,63.0,1940,996,0,1969,6,1,3,0,0,11.58989576532275
564,21780,66.0,1918,1163,511,1950,8,1,4,2,396,12.128116509451258
565,13346,,1992,1166,1129,2000,9,1,4,2,590,12.498745990829315
566,6858,66.0,1915,841,806,1950,6,1,4,1,216,11.759793355371237
567,11198,77.0,2005,1134,1370,2007,11,1,4,3,656,12.691583538230217
568,10171,70.0,2004,1535,0,2004,7,1,3,2,532,12.273735966890268
569,12327,79.0,1983,1496,636,2009,5,1,1,2,612,12.665397584983758
570,7032,,1979,943,0,1979,4,1,2,2,600,11.820123358887447
571,13101,74.0,1965,1728,0,1965,10,2,6,2,576,11.867805799560465
572,7332,60.0,1959,864,0,1959,4,1,2,1,288,11.695255355062795
573,13159,83.0,2009,846,846,2009,6,1,3,2,650,12.32163544049751
574,9967,76.0,2000,774,656,2000,8,1,3,2,400,12.04355959836804
575,10500,70.0,1971,576,533,2005,5,1,3,1,288,11.842236406331555
576,8480,80.0,1947,832,384,1950,6,1,2,1,336,11.682676678340282
577,6292,52.0,1928,877,600,1950,6,1,3,1,216,11.884495917930655
578,11777,96.0,1966,1320,0,1966,6,1,3,2,564,12.010671928196443
579,3604,34.0,2007,703,689,2007,5,1,2,2,540,11.891368749982085
580,12150,81.0,1954,1050,745,1954,7,1,4,1,352,11.78676973513378
581,14585,,1960,1429,0,1987,7,1,3,2,572,12.111217862017215
582,12704,98.0,2008,2042,0,2009,8,1,3,3,1390,12.442306148381938
583,11841,81.0,1990,816,0,1990,5,1,3,0,0,11.682676678340282
584,13500,75.0,1893,1521,1254,2000,9,1,3,2,880,12.691583538230217
585,6120,51.0,1935,989,584,1995,6,1,3,1,240,11.798111925972618
586,11443,88.0,2005,2028,0,2006,7,1,2,3,880,12.820990681250251
587,10267,55.0,1918,838,0,2000,5,1,2,1,275,11.775297421715827
588,8740,74.0,1982,860,0,1982,4,1,2,2,528,11.827743504053695
589,25095,65.0,1968,1473,0,2003,5,1,1,1,452,11.870606902224587
590,9100,50.0,1930,779,0,1960,4,1,2,1,308,11.283524879179666
591,8320,64.0,2004,770,812,2004,6,1,3,2,520,12.132969552931216
592,13478,97.0,2008,1728,568,2008,10,1,3,3,842,13.02132904585825
593,6600,60.0,1982,816,0,2003,4,1,2,2,816,11.835016210489899
594,4435,,2003,848,0,2003,4,1,1,2,420,11.849404844423074
595,7990,88.0,1975,924,0,1975,5,1,3,1,280,11.608244735642321
596,11302,69.0,2005,1826,0,2006,7,1,3,3,758,12.672949516558306
597,3600,60.0,1910,684,684,1993,7,1,3,1,216,11.648373769145277
598,3922,53.0,2006,1402,0,2007,7,1,2,3,648,12.176654133447505
599,12984,80.0,1977,1647,0,1977,7,1,3,2,621,12.289958727201455
600,1950,24.0,1980,716,840,1980,6,1,3,2,452,11.92504173829169
601,10927,74.0,2005,1058,846,2005,8,1,3,2,736,12.524530013005734
602,9000,50.0,1937,780,595,1950,6,1,3,1,544,11.856522261533737
603,10041,80.0,1992,927,988,1992,8,1,3,2,506,12.301387370778713
604,3182,30.0,2004,600,600,2005,4,1,2,2,480,11.92504173829169
605,12803,88.0,2002,1494,0,2002,6,1,3,2,530,12.30592250537653
606,13600,85.0,1965,1186,800,1990,7,1,3,2,486,12.230770136157428
607,12464,82.0,1996,1040,0,1996,6,1,3,2,576,11.931642378754141
608,7800,78.0,1948,1112,896,2002,8,1,3,1,230,12.323860125621126
609,12168,78.0,1934,1940,1254,1998,10,1,4,2,380,12.791358964949923
610,7943,61.0,1961,1029,0,1961,5,1,3,1,261,11.682676678340282
611,11050,,2000,1476,677,2000,8,1,3,3,736,12.653961664405365
612,10395,,1978,1032,0,1978,6,1,3,2,564,11.904974309480183
613,11885,,2001,1299,573,2001,7,1,3,2,531,12.474193386571581
614,8402,70.0,2007,1120,0,2007,6,1,3,0,0,11.898194668458823
615,1491,21.0,1972,630,0,1972,3,1,1,0,0,11.231901180182515
616,8800,80.0,1963,1054,0,1963,6,1,3,2,480,11.83138646878959
617,7861,,2002,807,702,2003,7,1,3,2,393,12.118339189722553
618,7227,59.0,1954,832,0,1954,4,1,2,2,528,11.566475710526321
619,11694,90.0,2007,1828,0,2007,9,1,3,3,774,12.659737267217572
620,12244,85.0,2003,1482,780,2003,10,1,4,3,749,12.628070334272698
621,8248,45.0,1914,864,0,1950,5,1,2,0,0,11.112462823634855
622,10800,90.0,1974,1548,1066,1997,9,1,4,2,624,12.388398368982115
623,7064,71.0,1977,980,0,1977,6,1,3,2,484,11.813037464800539
624,2117,,2000,756,756,2000,4,1,2,2,440,12.034696963475044
625,10400,80.0,1972,1012,778,1972,8,1,4,2,484,12.014615485902027
626,10000,87.0,1962,1116,0,1962,5,1,3,2,440,11.982935344196433
627,12342,,1960,1422,0,1978,6,1,3,1,286,11.848690308590857
628,9600,80.0,1955,1520,0,1972,7,1,3,1,364,11.938199736300925
629,11606,70.0,1969,1040,1040,1969,9,1,5,2,504,11.813037464800539
630,9020,82.0,1964,1350,0,1964,6,1,3,2,520,12.034696963475044
631,9000,50.0,1880,1089,661,1991,8,1,3,1,240,11.728044909070785
632,4590,34.0,2006,1554,0,2006,6,1,2,2,627,12.252483791602627
633,11900,85.0,1977,1411,0,1977,6,1,3,2,544,11.320565693461432
634,9250,80.0,1954,1056,0,2005,6,1,3,1,260,11.845109950883979
635,6979,64.0,1980,1056,0,1980,4,2,0,2,576,11.87757552297847
636,10896,60.0,1914,1440,1440,1995,14,2,8,0,0,12.206077645517674
637,6120,51.0,1936,800,0,1950,4,1,1,0,0,11.002116507732017
638,6000,50.0,1954,811,576,1954,7,2,3,1,256,11.440365524765756
639,8777,67.0,1910,796,0,1950,4,1,2,0,0,11.350418300109132
640,3982,53.0,2006,1567,0,2006,7,1,1,3,648,12.485830907348902
641,12677,62.0,2003,1518,0,2004,6,1,1,2,588,12.520887034998584
642,7050,,2001,1057,872,2001,7,1,3,2,650,12.328294703023394
643,13860,75.0,1972,2000,704,1995,9,1,4,2,538,12.75130259456002
644,10793,80.0,1969,780,840,1969,7,1,4,2,462,11.931642378754141
645,9187,85.0,2009,1766,0,2009,7,1,2,3,478,12.823631142839984
646,10530,,1971,981,0,1971,5,1,3,2,576,11.872353615355413
647,7200,60.0,1950,1048,0,1950,7,1,3,2,420,11.495789479023493
648,10452,85.0,1953,1094,0,1953,5,1,3,2,495,11.951186847493476
649,7700,70.0,1966,1051,788,1966,7,1,4,2,442,11.951186847493476
650,1936,21.0,1970,630,0,1970,3,1,1,0,0,11.344518647594766
651,8125,65.0,2007,822,843,2007,7,1,3,2,562,12.235393555399902
652,9084,60.0,1940,755,755,1950,7,1,4,1,296,11.58989576532275
653,8750,70.0,1996,909,807,1996,7,1,2,2,512,12.160033942617156
654,10320,60.0,1906,756,713,1995,7,1,3,1,216,11.813037464800539
655,10437,91.0,1995,2113,0,1995,7,1,2,3,839,12.765691290604371
656,1680,21.0,1971,525,567,1971,6,1,3,1,264,11.385103457032141
657,10007,72.0,1959,1053,0,2006,5,1,3,1,312,11.8879382384223
658,7200,60.0,1931,851,651,2000,6,1,3,1,270,11.91170829631447
659,17503,78.0,1948,912,546,1950,6,1,3,1,330,11.487617913343598
660,9937,75.0,1964,1486,0,1999,7,1,3,2,480,12.025755079404917
661,12384,,1976,1142,793,1976,7,1,3,2,550,12.19552218463499
662,46589,52.0,1994,1686,762,2005,8,1,4,3,711,12.904209855160254
663,13560,120.0,1968,1392,0,1968,5,1,2,2,576,11.608244735642321
664,10012,90.0,1972,1181,0,1972,6,1,3,2,588,11.83138646878959
665,20896,49.0,2005,2097,0,2006,8,1,1,3,1134,12.955129822091815
666,11194,106.0,2000,1454,482,2000,7,1,3,2,504,12.348010479804223
667,18450,,1965,1465,915,1979,7,1,3,2,596,11.767575435251748
668,8125,65.0,1994,1679,0,1998,7,1,3,2,575,12.173037959397275
669,14175,,1956,1437,0,1987,6,1,3,2,576,12.031725210748633
670,11600,80.0,1922,1180,0,1950,5,1,2,1,252,11.83138646878959
671,8633,64.0,2005,738,738,2005,7,1,3,2,540,12.063938642041201
672,6629,54.0,1925,697,672,1950,6,1,3,1,300,11.548302261270587
673,11250,,1977,1208,0,1977,6,1,3,2,546,12.013706813470414
674,14442,110.0,1957,1839,0,2004,7,1,3,2,416,12.458778882573533
675,9200,80.0,1965,1136,0,1965,5,1,3,1,384,11.849404844423074
676,2289,24.0,1978,855,586,1978,7,1,3,2,440,11.908346971208951
677,9600,60.0,1900,1095,679,1950,8,2,4,3,779,11.373674891823535
678,9022,52.0,1924,792,0,2006,5,1,2,1,240,11.603688960617083
679,11844,80.0,2008,2046,0,2008,7,1,3,3,834,12.827995001361906
680,9945,,1961,988,0,1961,5,1,3,2,572,11.763691965388299
681,8012,50.0,1980,923,0,1980,5,1,2,1,264,11.870606902224587
682,4500,55.0,1932,848,672,2000,6,1,3,1,281,11.979391594635791
683,2887,,1996,1291,0,1997,6,1,2,2,431,12.06105265381003
684,11248,90.0,2002,1668,0,2002,7,1,3,3,702,12.560247968016562
685,16770,58.0,1998,1195,644,1998,7,1,4,2,486,12.30592250537653
686,5062,,1984,1190,900,1984,6,1,3,2,577,12.242891437918386
687,10207,84.0,2007,874,887,2007,7,1,3,2,578,12.336556900342153
688,5105,,2004,551,551,2004,4,1,2,2,480,11.910365121788654
689,8089,60.0,2007,1419,0,2007,7,1,2,2,567,12.879019669789754
690,7577,61.0,2005,1362,0,2006,6,1,2,2,460,12.179220327453931
691,4426,,2004,848,0,2004,3,1,1,2,420,11.856522261533737
692,21535,104.0,1994,2444,1872,1995,10,1,4,3,832,13.534474352733596
693,26178,42.0,1989,1238,1281,1990,9,1,4,2,628,12.721888795877375
694,5400,60.0,1921,1073,0,1968,4,1,2,1,326,11.59433032142082
695,6120,51.0,1936,1067,472,1950,5,1,3,2,576,11.860062063178267
696,13811,54.0,1987,1137,0,1987,5,1,2,2,551,12.07824495582233
697,6000,50.0,1921,616,0,1950,4,1,2,1,205,11.39640288460621
698,6420,57.0,1952,1148,0,1952,6,1,2,1,308,11.724004532183379
699,8450,65.0,1965,894,0,2009,5,1,3,1,336,11.83863282480007
700,4282,59.0,2004,1391,0,2004,5,1,2,2,530,12.185875040240456
701,14331,85.0,2002,1800,0,2002,7,1,3,3,765,12.652362948153474
702,9600,80.0,1969,1164,0,1969,6,1,3,2,528,11.849404844423074
703,12438,82.0,2006,1264,1312,2006,10,1,4,3,666,12.799178471909892
704,7630,76.0,1900,1032,780,1996,8,2,4,2,672,11.849404844423074
705,8400,70.0,2004,1484,0,2005,7,1,3,2,606,12.269052139516223
706,5600,70.0,1930,372,720,1950,7,2,3,0,0,10.915106645867503
707,115149,,1971,1824,0,2002,5,1,2,2,739,12.618185607609803
708,6240,48.0,2006,1324,0,2006,6,1,2,2,550,12.445093483000798
709,9018,65.0,2007,728,728,2007,8,1,3,2,400,12.09815887308463
710,7162,,1966,904,0,1966,6,1,3,1,408,11.60733523953139
711,4130,56.0,1935,729,0,2003,5,1,2,0,0,10.859018228147887
712,8712,66.0,1900,859,319,1950,7,1,2,1,384,11.54031687156214
713,4671,40.0,1988,1228,0,1989,5,1,2,2,472,12.149507585033072
714,9873,60.0,1970,960,0,1970,6,1,3,2,576,11.767575435251748
715,13517,,1976,725,754,2005,6,1,3,2,475,11.779136168550774
716,10140,78.0,1974,1350,0,1974,7,1,3,2,478,12.013706813470414
717,10800,60.0,1890,1576,978,1998,8,1,3,2,704,11.979805470779858
718,10000,80.0,1973,1178,0,2000,5,1,3,2,439,11.964007453736912
719,10542,96.0,1993,1325,1093,1994,9,1,3,3,983,12.739640688812674
720,9920,69.0,1969,971,0,1969,5,1,3,1,300,11.763691965388299
721,6563,,1985,1742,0,1985,5,1,2,2,564,12.524530013005734
722,4426,,2004,848,0,2004,3,1,1,2,420,11.870606902224587
723,8120,70.0,1970,864,0,1970,5,1,3,2,463,11.732069026983156
724,8172,60.0,1954,997,473,1972,7,1,4,1,548,11.813037464800539
725,13286,86.0,2007,1698,0,2008,8,1,3,3,768,12.676079399771027
726,6960,60.0,1970,864,0,1970,5,1,3,2,660,11.699413330633599
727,21695,,1988,1680,0,2007,5,1,3,2,540,12.310437165348775
728,7314,64.0,2007,1232,0,2007,6,1,2,2,632,12.178192583415596
729,11475,85.0,1958,1776,0,1958,9,2,4,3,888,11.608244735642321
730,6240,52.0,1925,848,0,1950,5,1,2,2,539,11.542493975902508
731,5389,39.0,1995,1616,0,1996,5,1,2,2,608,12.373707715234994
732,9590,73.0,2003,1146,0,2003,6,1,3,2,438,12.141539457711714
733,11404,75.0,1998,1153,878,1999,8,1,3,2,541,12.312686874960354
734,10000,80.0,1961,1144,0,1983,6,1,3,1,264,11.786008995353765
735,8978,,1968,948,0,1968,6,1,3,1,300,11.58989576532275
736,10800,60.0,1914,880,888,1970,6,1,2,2,320,12.001511614739405
737,8544,60.0,1950,1040,0,1950,6,2,2,2,400,11.445727410406752
738,10463,72.0,2005,901,900,2005,8,1,3,3,800,12.3879816172226
739,10800,60.0,1987,1200,0,1988,5,1,3,0,0,12.095146671399466
740,9313,65.0,2004,864,864,2004,7,1,3,2,572,12.154784614286667
741,9600,60.0,1910,768,664,2002,7,1,2,2,360,11.790564777297387
742,6768,65.0,1961,912,0,1996,5,1,3,1,288,11.863589378812122
743,8450,65.0,2000,1349,0,2001,6,1,3,2,539,12.095146671399466
744,12886,70.0,1963,1464,0,1999,6,1,3,2,480,12.07254696717504
